MatchID,Year,Decade,Date,Time,Stage,StageType,Group,Stadium,HostCity,HostCountry,HomeTeam,AwayTeam,HomeGoals,AwayGoals,TotalGoals,GoalDifference,Result,Winner,ExtraTime,PenaltyShootout,HomePenaltyGoals,AwayPenaltyGoals,HighScoringMatch,Scoreline
M-2006-23,2006,2000s,2006-06-16,21:00,Group Stage,Group Stage,Group D,Niedersachsenstadion,Hanover,Germany,Mexico,Angola,0,0,0,0,Draw,Draw,No,No,0,0,No,0–0
M-2006-24,2006,2000s,2006-06-17,15:00,Group Stage,Group Stage,Group D,Waldstadion,Frankfurt,Germany,Portugal,Iran,2,0,2,2,Home Win,Portugal,No,No,0,0,No,2–0
M-2006-25,2006,2000s,2006-06-17,18:00,Group Stage,Group Stage,Group E,RheinEnergieStadion,Cologne,Germany,Czech Republic,Ghana,0,2,2,2,Away Win,Ghana,No,No,0,0,No,0–2
M-2006-26,2006,2000s,2006-06-17,21:00,Group Stage,Group Stage,Group E,Fritz-Walter-Stadion,Kaiserslautern,Germany,Italy,United States,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2006-27,2006,2000s,2006-06-18,15:00,Group Stage,Group Stage,Group F,Frankenstadion,Nuremberg,Germany,Japan,Croatia,0,0,0,0,Draw,Draw,No,No,0,0,No,0–0
M-2006-28,2006,2000s,2006-06-18,18:00,Group Stage,Group Stage,Group F,Allianz Arena,Munich,Germany,Brazil,Australia,2,0,2,2,Home Win,Brazil,No,No,0,0,No,2–0
M-2006-29,2006,2000s,2006-06-18,21:00,Group Stage,Group Stage,Group G,Zentralstadion,Leipzig,Germany,France,South Korea,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2006-30,2006,2000s,2006-06-19,15:00,Group Stage,Group Stage,Group G,Westfalenstadion,Dortmund,Germany,Togo,Switzerland,0,2,2,2,Away Win,Switzerland,No,No,0,0,No,0–2
M-2006-31,2006,2000s,2006-06-19,18:00,Group Stage,Group Stage,Group H,Volksparkstadion,Hamburg,Germany,Saudi Arabia,Ukraine,0,4,4,4,Away Win,Ukraine,No,No,0,0,No,0–4
M-2006-32,2006,2000s,2006-06-19,21:00,Group Stage,Group Stage,Group H,Neckarstadion,Stuttgart,Germany,Spain,Tunisia,3,1,4,2,Home Win,Spain,No,No,0,0,No,3–1
M-2006-33,2006,2000s,2006-06-20,16:00,Group Stage,Group Stage,Group A,Niedersachsenstadion,Hanover,Germany,Costa Rica,Poland,1,2,3,1,Away Win,Poland,No,No,0,0,No,1–2
M-2006-34,2006,2000s,2006-06-20,16:00,Group Stage,Group Stage,Group A,Olympiastadion,Berlin,Germany,Ecuador,Germany,0,3,3,3,Away Win,Germany,No,No,0,0,No,0–3
M-2006-35,2006,2000s,2006-06-20,21:00,Group Stage,Group Stage,Group B,Fritz-Walter-Stadion,Kaiserslautern,Germany,Paraguay,Trinidad and Tobago,2,0,2,2,Home Win,Paraguay,No,No,0,0,No,2–0
M-2006-36,2006,2000s,2006-06-20,21:00,Group Stage,Group Stage,Group B,RheinEnergieStadion,Cologne,Germany,Sweden,England,2,2,4,0,Draw,Draw,No,No,0,0,No,2–2
M-2006-37,2006,2000s,2006-06-21,16:00,Group Stage,Group Stage,Group D,Zentralstadion,Leipzig,Germany,Iran,Angola,1,1,2,0,Draw,Draw,No,No,0,0,No,1–1
M-2006-38,2006,2000s,2006-06-21,16:00,Group Stage,Group Stage,Group D,Arena AufShalke,Gelsenkirchen,Germany,Portugal,Mexico,2,1,3,1,Home Win,Portugal,No,No,0,0,No,2–1
M-2006-39,2006,2000s,2006-06-21,21:00,Group Stage,Group Stage,Group C,Allianz Arena,Munich,Germany,Ivory Coast,Serbia and Montenegro,3,2,5,1,Home Win,Ivory Coast,No,No,0,0,Yes,3–2
M-2006-40,2006,2000s,2006-06-21,21:00,Group Stage,Group Stage,Group C,Waldstadion,Frankfurt,Germany,Netherlands,Argentina,0,0,0,0,Draw,Draw,No,No,0,0,No,0–0
M-2006-41,2006,2000s,2006-06-22,16:00,Group Stage,Group Stage,Group E,Volksparkstadion,Hamburg,Germany,Czech Republic,Italy,0,2,2,2,Away Win,Italy,No,No,0,0,No,0–2
M-2006-42,2006,2000s,2006-06-22,16:00,Group Stage,Group Stage,Group E,Frankenstadion,Nuremberg,Germany,Ghana,United States,2,1,3,1,Home Win,Ghana,No,No,0,0,No,2–1
M-2006-43,2006,2000s,2006-06-22,21:00,Group Stage,Group Stage,Group F,Neckarstadion,Stuttgart,Germany,Croatia,Australia,2,2,4,0,Draw,Draw,No,No,0,0,No,2–2
M-2006-44,2006,2000s,2006-06-22,21:00,Group Stage,Group Stage,Group F,Westfalenstadion,Dortmund,Germany,Japan,Brazil,1,4,5,3,Away Win,Brazil,No,No,0,0,Yes,1–4
M-2006-45,2006,2000s,2006-06-23,16:00,Group Stage,Group Stage,Group H,Fritz-Walter-Stadion,Kaiserslautern,Germany,Saudi Arabia,Spain,0,1,1,1,Away Win,Spain,No,No,0,0,No,0–1
M-2006-46,2006,2000s,2006-06-23,16:00,Group Stage,Group Stage,Group H,Olympiastadion,Berlin,Germany,Ukraine,Tunisia,1,0,1,1,Home Win,Ukraine,No,No,0,0,No,1–0
M-2006-47,2006,2000s,2006-06-23,21:00,Group Stage,Group Stage,Group G,Niedersachsenstadion,Hanover,Germany,Switzerland,South Korea,2,0,2,2,Home Win,Switzerland,No,No,0,0,No,2–0
